1547	2
1545	5
1543	7
1542	9
1541	11
1540	14
1540	16
1540	18
1539	20
1540	23
1540	25
1541	27
1542	30
1541	32
1539	34
1537	36
1537	39
1536	41
1536	44
1537	47
1537	49
1536	51
1535	53
1534	56
1533	58
1534	60
1535	63
1536	65
1537	67
1538	70
1538	72
1539	74
1538	76
1537	79
1536	81
1537	83
1538	87
1537	89
1536	91
1537	93
1539	96
1540	98
1541	100
1542	103
1543	105
1539	107
1537	110
1536	112
1536	114
1535	117
1534	119
1533	121
1532	124
1530	126
1527	129
1526	132
1527	134
1529	136
1532	139
1534	141
1533	144
1531	146
1530	148
1529	151
1528	153
1529	155
1531	158
1531	160
1528	162
1527	165
1528	167
1529	169
1527	173
1525	175
1524	177
1524	180
1525	182
1525	184
1526	187
1527	189
1527	191
1527	194
1524	196
1523	198
1522	201
1522	203
1523	205
1524	208
1523	210
1524	214
1522	216
1522	218
1523	221
1525	223
1529	225
1531	228
1532	230
1532	232
1531	235
1530	237
1528	239
1527	242
1526	244
1526	246
1528	249
1530	251
1531	253
1531	257
1530	259
1527	261
1525	264
1523	266
1523	268
1522	271
1523	273
1525	275
1527	278
1527	280
1527	283
1525	285
1524	287
1524	290
1524	292
1523	294
1523	297
1524	300
1526	302
1527	305
1526	307
1526	309
1527	312
1527	314
1525	316
1522	319
1522	321
1522	323
1522	326
1523	328
1524	330
1525	333
1526	335
1528	337
1531	340
1531	343
1529	345
1528	348
1527	350
1527	353
1529	355
1531	357
1532	360
1530	362
1530	364
1530	367
1532	369
1533	371
1533	374
1532	376
1531	378
1530	381
1529	384
1528	386
1527	389
1526	391
1526	393
1526	396
1528	398
1530	400
1532	403
1532	405
1531	407
1530	410
1531	412
1532	414
1534	417
1535	419
1534	422
1531	424
1529	427
1528	430
1528	432
1527	434
1527	437
1528	439
1530	441
1531	444
1531	446
1530	448
1530	451
1529	453
1528	455
1529	458
1531	460
1533	462
1534	465
1534	467
1532	470
1532	473
1532	475
1532	477
1533	480
1535	482
1537	484
1538	487
1535	489
1532	492
1531	494
1530	496
1530	499
1530	501
1530	503
1530	506
1532	508
1534	510
1538	514
1538	516
1537	518
1535	521
1534	523
1535	525
1538	528
1541	530
1541	532
1542	535
1540	537
1538	539
1537	542
1536	544
1535	546
1533	549
1532	551
1532	553
1535	557
1537	559
1538	561
1536	564
1532	566
1531	569
1531	571
1531	573
1532	576
1533	578
1534	580
1534	583
1534	585
1534	587
1534	590
1534	592
1534	594
1533	598
1535	600
1536	602
1536	605
1535	607
1535	609
1535	612
1534	614
1535	616
1536	619
1537	621
1537	623
1539	626
1540	628
1542	631
1542	633
1542	635
1538	638
1535	641
1533	643
1532	646
1532	648
1531	650
1531	653
1532	655
1532	657
1532	660
1532	662
1532	664
1531	667
1530	669
1530	671
1530	674
1530	676
1531	678
1532	681
1532	684
1533	686
1534	689
1536	691
1540	693
1540	696
1539	698
1536	701
1534	703
1532	705
1530	708
1531	710
1532	712
1533	715
1532	717
1532	719
1531	722
1530	724
1530	727
1530	730
1530	732
1530	734
1531	737
1530	739
1531	741
1533	744
1536	746
1537	748
1537	751
1535	753
1534	755
1533	758
1532	760
1531	762
1529	765
1528	768
1528	771
1528	773
1528	775
1528	778
1527	780
1526	782
1526	785
1526	787
1527	789
1528	792
1528	794
1528	796
1529	799
1531	801
1532	803
1531	806
1530	808
1530	811
1530	814
1530	816
1528	818
1527	821
1527	823
1527	825
1527	828
1528	830
1528	832
1528	835
1528	837
1529	840
1532	842
1534	844
1537	847
1539	849
1538	851
1535	855
1531	857
1530	859
1530	862
1531	864
1531	866
1531	869
1531	871
1531	873
1530	876
1529	878
1529	880
1528	883
1528	885
1529	887
1530	890
1531	892
1532	894
1532	898
1532	900
1530	902
1529	905
1530	907
1530	910
1530	912
1529	914
1529	917
1530	919
1533	921
1535	924
1535	926
1533	928
1532	931
1531	933
1531	935
1532	939
1532	941
1534	943
1533	946
1531	948
1531	950
1530	953
1530	955
1530	957
1532	960
1533	962
1534	964
1534	967
1534	969
1532	971
